日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/06/09,12240469,816840425,67.9,67.9,66.2,66.2,-1.8,4841
109/06/10,13284820,899033847,66.3,68.0,66.3,68.0,1.8,5373
109/06/11,12374357,825824356,67.3,67.9,65.8,66.5,-1.5,5015
109/06/12,8496420,559077930,64.6,66.7,64.4,66.3,-0.2,3590
109/06/15,6742574,446607239,66.1,66.7,65.4,65.6,-0.7,2487
109/06/16,8762236,592203012,66.8,68.4,66.7,67.3,1.7,3953
109/06/17,7990720,540201286,67.5,68.0,67.1,68.0,0.7,3373
109/06/18,5142872,345748147,68.0,68.4,66.5,67.5,-0.5,2097
109/06/19,13415108,913339781,67.3,68.5,67.1,68.2,0.7,3801
109/06/22,6003657,409276076,67.7,68.6,67.4,68.2,0.0,1963
109/06/23,6564051,444844620,68.5,68.8,67.0,67.8,-0.4,2961
109/06/24,6605188,448965583,68.0,68.5,67.4,68.0,0.2,2745
109/06/29,6206782,419379889,67.2,68.5,66.8,67.3,-0.7,2910
109/06/30,8433207,568284001,67.6,68.0,66.8,67.6,0.3,2754
109/07/01,6306210,426794175,67.2,68.3,66.8,68.0,0.4,3519
109/07/02,24142867,1714218222,68.3,72.8,68.0,72.7,4.7,11163
109/07/03,19272900,1394612947,73.7,74.5,71.3,71.9,-0.8,8773
109/07/06,15261016,1092226299,72.0,72.2,71.0,71.6,-0.3,6640
109/07/07,18798717,1327512646,71.6,72.1,70.0,70.5,-1.1,6573
109/07/08,18966991,1314647456,70.1,70.2,68.9,69.5,-1.0,7383
109/07/09,19088830,1350270021,70.1,72.2,70.1,70.4,0.9,7006
109/07/10,15252212,1088595265,71.1,72.0,70.4,71.6,1.2,7045
109/07/13,12159638,875335236,72.3,72.8,71.5,72.4,0.8,5787
109/07/14,10711555,765185206,72.4,72.9,70.7,70.7,-1.7,4633
109/07/15,6857926,487699472,71.5,71.9,70.7,70.7,0.0,3349
109/07/16,9255347,648855462,71.2,71.3,69.5,69.7,-1.0,4321
109/07/17,9702906,675395858,70.3,70.4,69.1,69.3,-0.4,4604
109/07/20,7336963,514578776,69.8,70.7,69.3,70.6,1.3,3505
109/07/21,14091614,1015393753,71.0,72.7,71.0,72.0,1.4,6215
109/07/22,11100889,800764025,72.2,73.4,71.3,71.8,-0.2,5462
109/07/23,10358538,739325050,71.5,71.8,70.9,71.8,0.0,4198
109/07/24,16911802,1199507940,71.2,72.7,69.5,69.9,-1.9,7775
109/07/27,38316368,2839857664,70.7,76.0,70.7,73.0,3.1,18588
109/07/28,49796496,3666657039,75.8,77.6,70.5,70.7,-2.3,24249
109/07/29,21341123,1550064885,72.0,73.8,71.5,72.5,1.8,10854
109/07/30,26169370,1960248978,74.5,76.0,73.5,75.5,3.0,13991
109/07/31,21262520,1605149648,75.5,76.6,74.2,75.6,0.1,10612
109/08/03,48954775,3552438428,73.5,74.1,71.4,71.6,-4.00,25056
109/08/04,33013865,2344956015,71.7,72.3,70.5,70.6,-1.00,17481
109/08/05,22628244,1595816387,70.8,71.2,70.2,70.3,-0.30,12130
109/08/06,16277323,1152663533,70.9,71.4,70.3,70.9,+0.60,8777
109/08/07,13740153,971007372,71.5,71.5,70.1,70.3,-0.60,7845
109/08/10,9250676,653848053,70.5,71.2,70.2,70.4,+0.10,4740
109/08/11,10226320,722285036,70.4,71.0,70.4,70.4, 0.00,6040
109/08/12,18989393,1325036510,70.3,70.7,69.4,69.9,-0.50,9425
109/08/13,13642915,930946680,68.4,69.0,67.9,68.0,X0.00,7219
109/08/14,16360373,1096294173,67.7,67.8,66.7,66.8,-1.20,9420
109/08/17,11668310,790976965,67.2,68.4,66.6,68.4,+1.60,5845
109/08/18,19240437,1293442571,68.5,68.5,66.8,67.0,-1.40,9356
109/08/19,26083012,1705121580,66.9,67.2,64.7,64.8,-2.20,14780
109/08/20,33794495,2072422613,64.2,64.2,59.5,61.1,-3.70,19239
